"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"4421","CREGRA","EQ","CREDITACCESS GRAMEEN LIMITED",0.01,1,"","",0,10,"INE741K01010",1154,494.7,1154,242.05,"","","",0,0,0,1068.6,712.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CREDITACC"
"4422","INDCAR","EQ","INDIAN CARD CLOTHING LTD",0.01,1,"","",0,10,"INE061A01014",332,155.45,365.5,27.6,"","","",0,0,0,257.55,210.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","INDIANCARD"
"4430","JMCPRO","EQ","JMC PROJECTS (INDIA) LIMITED",0.01,1,"","",0,2,"INE890A01024",130,68.1,150.5,13.89,"","","",0,0,0,86.8,57.9,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","JMCPROJECT"
"4433","HITGEA","EQ","THE HI-TECH GEARS LTD",0.01,1,"","",0,10,"INE127B01011",365.95,155.3,602.75,10.5,"","","",0,0,0,189.3,126.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HITECHGEAR"
"4444","HAWCOO","EQ","HAWKINS COOKER LTD",0.01,1,"","",0,10,"INE979B01015",0,0,70.9,28.4,"","","",0,0,0,44.5,29.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HAWKINCOOK"
"445","5PACAP","EQ","FIVE PAISA CAPITAL LIMITED",0.01,1,"","",0,10,"INE618L01018",580,267.6,580,90,"","","",0,0,0,329.5,219.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","5PAISA"
"4452","GUJNRE","EQ","GUJARAT NRE COKE LIMITED",0.01,1,"","",0,10,"INE110D01013",3.1,0.9,117.99,0.65,"","","",0,0,0,0.95,0.85,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GUJNRECOKE"
"4456","DIOGLO","EQ","DION GLOBAL SOLUTIONS LIMITED",0.01,1,"","",0,10,"INE991C01034",0,0,50,2.3,"","","",0,0,0,4.85,3.25,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","FORTISFIN"
"4469","ELEIN","EQ","ELECTROTHERM (INDIA) LIMITED",0.01,1,"","",0,10,"INE822G01016",198.8,89.95,644,13.15,"","","",0,0,0,114.05,76.05,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ELECTHERM"
"4471","ELPINT","EQ","ELPRO INTERNATIONAL LTD",0.01,1,"","",0,1,"INE579B01039",0,0,185,21.05,"","","",0,0,0,36.4,24.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ELPROINTL"
"4481","AARDRU","EQ","AARTI DRUGS LIMITED",0.01,1,"","",0,10,"INE767A01016",749.75,382,1026.95,0.95,"","","",0,0,0,463.3,308.9,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","AARTIDRUGS"
