"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"10042","OPTCUR","USDINR","OPTION","27-May-2022",75.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",28639,1,1000,0.0025,"US Dollars","","","","",1.565,2.565,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.065,"USDINR"
"10044","OPTCUR","USDINR","OPTION","27-May-2022",75.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",5553,1,1000,0.0025,"US Dollars","","","","",1.3175,2.3175,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.8175,"USDINR"
"10046","OPTCUR","USDINR","OPTION","27-May-2022",76,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",97125,1,1000,0.0025,"US Dollars","","","","",1.07,2.07,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.57,"USDINR"
"10048","OPTCUR","USDINR","OPTION","27-May-2022",76.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",35390,1,1000,0.0025,"US Dollars","","","","",0.815,1.81,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.3125,"USDINR"
"10050","OPTCUR","USDINR","OPTION","27-May-2022",76.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",186983,1,1000,0.0025,"US Dollars","","","","",0.5825,1.5675,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.075,"USDINR"
"10052","OPTCUR","USDINR","OPTION","27-May-2022",76.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",42844,1,1000,0.0025,"US Dollars","","","","",0.35,1.3,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.825,"USDINR"
"10058","OPTCUR","USDINR","OPTION","27-May-2022",77,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",223595,1,1000,0.0025,"US Dollars","","","","",0.1575,1.0275,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.5925,"USDINR"
"10060","OPTCUR","USDINR","OPTION","27-May-2022",77.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",58617,1,1000,0.0025,"US Dollars","","","","",0.015,0.75,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.3825,"USDINR"
"10068","OPTCUR","USDINR","OPTION","27-May-2022",77.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",449022,1,1000,0.0025,"US Dollars","","","","",0.0025,0.49,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.215,"USDINR"
"10070","OPTCUR","USDINR","OPTION","27-May-2022",77.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",300064,1,1000,0.0025,"US Dollars","","","","",0.0025,0.29,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.115,"USDINR"
